t 1 2 3 4 5 6 jL0100 jL0200 jL0300 jE0400 jE0504 jE0605 
2.82e-05 0.63171 -0.201596 -0.885962 -0.885962 -1.08756 -0.455847 0.0245118 0.0619323 0.0438894 0 0 0
2.85e-05 0.624329 -0.220136 -0.898765 -0.898765 -1.1189 -0.494572 0.0247002 0.0616793 0.0414805 0 0 0
2.88e-05 0.616891 -0.238597 -0.91084 -0.91084 -1.14944 -0.532546 0.0248864 0.0614041 0.039038 0 0 0
2.91e-05 0.609397 -0.256972 -0.922178 -0.922178 -1.17915 -0.569752 0.0250703 0.0611068 0.0365639 0 0 0
2.94e-05 0.601849 -0.275254 -0.932769 -0.932769 -1.20802 -0.606174 0.025252 0.0607875 0.0340602 0 0 0
2.97e-05 0.594247 -0.293438 -0.942605 -0.942605 -1.23604 -0.641796 0.0254314 0.0604463 0.031529 0 0 0
3e-05 0.586591 -0.311515 -0.951678 -0.951678 -1.26319 -0.676603 0.0256086 0.0600833 0.0289722 0 0 0
3.03e-05 0.578882 -0.329481 -0.959981 -0.959981 -1.28946 -0.71058 0.0257834 0.0596988 0.026392 0 0 0
3.06e-05 0.571122 -0.347328 -0.967507 -0.967507 -1.31484 -0.743713 0.0259559 0.0592927 0.0237904 0 0 0
3.09e-05 0.56331 -0.36505 -0.974249 -0.974249 -1.3393 -0.77599 0.026126 0.0588653 0.0211696 0 0 0
3.12e-05 0.555447 -0.382641 -0.980203 -0.980203 -1.36284 -0.807397 0.0262938 0.0584168 0.0185316 0 0 0
3.15e-05 0.547534 -0.400094 -0.985363 -0.985363 -1.38546 -0.837923 0.0264593 0.0579472 0.0158786 0 0 0
3.18e-05 0.539572 -0.417403 -0.989726 -0.989726 -1.40713 -0.867557 0.0266223 0.0574567 0.0132128 0 0 0
3.21e-05 0.531561 -0.434562 -0.993288 -0.993288 -1.42785 -0.896288 0.026783 0.0569456 0.0105362 0 0 0
3.24e-05 0.523503 -0.451564 -0.996045 -0.996045 -1.44761 -0.924106 0.0269413 0.0564139 0.00785118 0 0 0
3.27e-05 0.515397 -0.468404 -0.997996 -0.997996 -1.4664 -0.951003 0.0270971 0.055862 0.00515977 0 0 0
3.3e-05 0.507245 -0.485075 -0.999139 -0.999139 -1.48421 -0.976969 0.0272505 0.05529 0.00246418 0 0 0
