t 1 2 3 4 5 6 7 8 9 jO0500 jO0100 jO0300 jV0900 
3.6e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 2.6149e-18 0
3.65e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 2.08614e-18 0
3.7e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 4.14993e-18 0
3.75e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 2.13241e-19 0
3.8e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 -1.17071e-18 0
3.85e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 3.13783e-18 0
3.9e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 -2.66074e-19 0
3.95e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 3.36844e-18 0
4e-05 -0.146507 0 -1.99206 -1.99206 0.146507 0.146507 0 0 0 -0.000146507 0.000146507 3.01755e-20 0
4.05e-05 -0.0800823 0 -1.99472 -0.00199273 0.0800823 8.00023e-05 0 0 2 -0.000160085 -0.00191265 0.00207273 0
4.1e-05 0.00850361 0 -1.99533 -0.00199334 -0.00850361 -8.49511e-06 0 0 2 1.69987e-05 -0.00200184 0.00198484 0
4.15e-05 0.104368 0 -1.99205 -0.00199006 -0.104368 -0.000104263 0 0 2 0.000208631 -0.00209443 0.0018858 0
4.2e-05 0.202397 0 -1.98422 -0.00198224 -0.202397 -0.000202195 0 0 2 0.000404592 -0.00218464 0.00178005 0
4.25e-05 0.300728 0 -1.9716 -0.00196963 -0.300728 -0.000300428 0 0 2 0.000601156 -0.00227036 0.0016692 0
4.3e-05 0.398577 0 -1.95412 -0.00195217 -0.398577 -0.000398179 0 0 2 0.000796756 -0.00235074 0.00155399 0
4.35e-05 0.495522 0 -1.93179 -0.00192986 -0.495522 -0.000495027 0 0 2 0.000990549 -0.00242538 0.00143483 0
4.4e-05 0.591262 0 -1.90466 -0.00190276 -0.591262 -0.000590672 0 0 2 0.00118193 -0.00249402 0.00131208 0
4.45e-05 0.68554 0 -1.87279 -0.00187092 -0.68554 -0.000684855 0 0 2 0.00137039 -0.00255646 0.00118606 0
4.5e-05 0.778113 0 -1.83625 -0.00183442 -0.778113 -0.000777335 0 0 2 0.00155545 -0.00261253 0.00105708 0
4.55e-05 0.868749 0 -1.79514 -0.00179335 -0.868749 -0.000867881 0 0 2 0.00173663 -0.0026621 0.000925469 0
