t 1 2 jL0100 
40.2 0.808715 -1.31071 -1.13321
40.3 0.808854 -1.21874 -1.05241
40.4 0.80574 -1.13068 -0.971764
40.5 0.79936 -1.04693 -0.89159
40.6 0.789784 -0.965692 -0.812213
40.7 0.777245 -0.883644 -0.733938
40.8 0.762062 -0.799918 -0.657042
40.9 0.744592 -0.714416 -0.581771
41 0.725203 -0.627262 -0.508333
41.1 0.704257 -0.538616 -0.436904
41.2 0.682109 -0.448619 -0.36762
41.3 0.659099 -0.357367 -0.300585
41.4 0.635559 -0.264908 -0.23587
41.5 0.611804 -0.171237 -0.173511
41.6 0.58814 -0.0762931 -0.113516
41.7 0.56486 0.0200375 -0.0558597
41.8 0.542244 0.117927 -0.000491445
41.9 0.520564 0.217605 0.0526689
42 0.500081 0.319362 0.103728
42.1 0.481048 0.42355 0.152817
42.2 0.463711 0.530582 0.200094
42.3 0.448308 0.640942 0.245741
42.4 0.435075 0.75518 0.289961
42.5 0.424243 0.87392 0.332984
42.6 0.416043 0.997862 0.375061
42.7 0.410434 1.11973 0.416449
42.8 0.407199 1.23735 0.457392
42.9 0.406047 1.35035 0.498109
43 0.406665 1.45893 0.538793
43.1 0.408746 1.56343 0.579604
43.2 0.411998 1.66421 0.620674
43.3 0.41615 1.76156 0.662107
43.4 0.420946 1.85577 0.703981
43.5 0.426152 1.94703 0.74635
43.6 0.431551 2.03552 0.789242
43.7 0.436941 2.12136 0.832669
43.8 0.442139 2.20464 0.876621
43.9 0.446974 2.28543 0.92107
44 0.451291 2.36374 0.965972
44.1 0.454949 2.43959 1.01127
44.2 0.457818 2.51294 1.05689
44.3 0.459784 2.58376 1.10275
44.4 0.460741 2.65199 1.14875
44.5 0.4606 2.71757 1.19479
44.6 0.459278 2.78039 1.24076
44.7 0.456707 2.84039 1.28653
44.8 0.452828 2.89745 1.33197
44.9 0.447593 2.95147 1.37696
45 0.440964 3.00235 1.42135
45.1 0.432914 3.04997 1.46501
45.2 0.423423 3.09423 1.50779
45.3 0.412484 3.13503 1.54955
45.4 0.400097 3.17225 1.59014
45.5 0.386271 3.20582 1.62943
45.6 0.371024 3.23562 1.66726
45.7 0.354382 3.26158 1.70349
45.8 0.336381 3.28363 1.738
45.9 0.317062 3.30169 1.77063
46 0.296475 3.31571 1.80128
46.1 0.274678 3.32565 1.82981
46.2 0.251733 3.33148 1.8561
46.3 0.227712 3.33316 1.88004
46.4 0.202691 3.3307 1.90153
46.5 0.176752 3.32411 1.92048
46.6 0.149983 3.3134 1.9368
46.7 0.122476 3.2986 1.9504
46.8 0.094328 3.27976 1.96122
46.9 0.065641 3.25696 1.96921
47 0.0365193 3.23026 1.9743
47.1 0.00707106 3.19975 1.97647
47.2 -0.022593 3.16555 1.97569
47.3 -0.05236 3.12778 1.97194
47.4 -0.082115 3.08656 1.96521
47.5 -0.111742 3.04205 1.95552
47.6 -0.141124 2.99442 1.94288
47.7 -0.170145 2.94383 1.92733
47.8 -0.198686 2.89048 1.9089
47.9 -0.226633 2.83456 1.88765
48 -0.25387 2.77628 1.86364
48.1 -0.280284 2.71587 1.83695
48.2 -0.305764 2.65356 1.80767
48.3 -0.330201 2.58959 1.77589
48.4 -0.353491 2.5242 1.74174
48.5 -0.375532 2.45765 1.70532
48.6 -0.396227 2.39021 1.66676
48.7 -0.415482 2.32214 1.62621
48.8 -0.43321 2.25371 1.58381
48.9 -0.449329 2.1852 1.53972
49 -0.46376 2.11688 1.49411
49.1 -0.476434 2.04904 1.44714
49.2 -0.487285 1.98195 1.399
49.3 -0.496257 1.91588 1.34987
49.4 -0.503299 1.85113 1.29994
49.5 -0.508368 1.78795 1.24941
49.6 -0.511427 1.72662 1.19847
49.7 -0.51245 1.66739 1.14732
49.8 -0.511415 1.61053 1.09618
49.9 -0.508311 1.55628 1.04525
50 -0.503135 1.50489 0.994726
50.1 -0.49589 1.45658 0.944826
50.2 -0.48659 1.41157 0.895754
50.3 -0.475255 1.37008 0.847713
50.4 -0.461916 1.33229 0.800905
50.5 -0.446611 1.29839 0.755528
50.6 -0.429384 1.26854 0.711777
50.7 -0.410291 1.24291 0.66984
50.8 -0.389393 1.22162 0.629902
50.9 -0.366761 1.2048 0.592138
51 -0.342471 1.19255 0.556719
51.1 -0.316608 1.18496 0.523805
51.2 -0.289264 1.18209 0.49355
51.3 -0.260537 1.184 0.466096
51.4 -0.230531 1.19072 0.441576
51.5 -0.199357 1.20225 0.420112
51.6 -0.167132 1.21859 0.401815
51.7 -0.133977 1.23971 0.386784
51.8 -0.100017 1.26557 0.375106
